site_name,gps_latitude,gps_longitude,collection_day,collection_month,collection_year,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,soil_ph,available_p,available_k,available_mg,available_ca,available_na,extractable_cu,extractable_zn,extractable_fe,extractable_so4,extractable_mo,extractable_mn,extractable_co
5DA.1,,,,,,group_1,,oats,vetch,2nd_wheat,,group_3 ,,OSR,,,,Crusoe; skyscraper; firefly,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
5BY.1,,,,,,group_2,,oats,vetch,wheat_group2,,maize,,forage_rye,,,,Extase; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
232,,,,,,group_1,,oats,vetch,2nd_wheat,,group_3 ,,OSR,,,,Crusoe; skyscraper; firefly,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
231,,,,,,group_1,,oats,vetch,group_2,,maize,,OSR,,,,Crusoe; Extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
5LY.1,,,,,,group_1,,vining_peas,,group_2,,maize_forage,,feed_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy,,,,,,,,,,,,,
5LY.2,,,,,,group_1,,combining_peas,,group_2,,maize_forage,,malting_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy,,,,,,,,,,,,,
5RJ.1,,,,,,group_1,,combining_peas,,group_2,,maize_forage,,spring_malting_barley,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
5RJ.2,,,,,,feed_wheat,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Champion; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
226,,,,,,group_1,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Crusoe; extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,"Clayey, some loamy",,,,,,,,,,,,,
217,,,,,,feed_wheat,,pre_pack,,group_2,,maize_forage,,spring_wheat,,,,Crusoe; Extase,No,N/A,Not seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,,,Yes,,,,Yes,,Yes,Yes,Yes,Yes,Min Till,Loamy and clayey,,,,,,,,,,,,,
